TMX,TMY,Tectonic Bedrock Age (MA),Interpreted Bedrock Age (MA),TMI,RTP,1VD,DGIR,AuSREM,Prox_Ultramafic Source,Prox_MajorCrustal,Prox_Fault,worms_mag_1km,worms_mag_4.6km,worms_mag_11km,worms_mag_50km,worms_grav_1km,worms_grav_4.6km,worms_grav_11km,worms_grav_50km,K_pct,Th_ppm,U_ppm,Ni_mine
12800000,-2800000,485,272.9500122,-349.5235596,-287.374054,-0.015920518,-221.2214661,140.64,141128.671,45490.9963,14143.39868,45.886397,58.863588,56.77222,43.417885,38.388909,53.569017,68.514855,73.210223,0.856208,13.180956,1.134446,0
12800000,-2805000,485,139.8000031,-321.6585083,-298.1848755,-0.006668567,-136.5517426,140.742,136936.7843,40490.9963,9143.732292,14.54175,59.91852,57.301922,43.444756,47.983417,53.187594,72.474965,71.721818,1.025882,14.376707,1.097318,0
12800000,-2810000,485,272.9500122,-297.415802,-297.470459,-0.004810322,-98.34532166,140.845,132800.8434,35490.9963,4144.870839,31.12971,59.694953,56.990146,43.460631,73.932251,50.492756,73.547262,70.312935,0.915975,12.674867,1.014432,0
12800000,-2815000,485,272.9500122,-277.1271973,-291.7230835,-0.001257966,-86.53696442,140.966,128726.241,30490.9963,204.7577229,26.635909,58.637764,55.931327,43.466311,41.204109,52.13894,66.586796,68.973529,0.975837,11.984537,1.055275,0
12800000,-2820000,485,272.9500122,-261.5032959,-285.5785828,-0.007330108,-108.9229736,141.088,124718.9891,25490.9963,4496.456396,36.205146,56.86898,54.019858,43.459888,37.925262,43.332281,64.140872,67.65734,0.898213,12.707541,1.013413,0
12800000,-2825000,485,272.9500122,-249.6287079,-278.3965454,-0.005995857,-158.6348877,141.216,120779.1364,20490.9963,9492.793641,33.00578,54.454603,51.170637,43.439042,42.240927,40.814786,63.200019,66.349289,0.891157,13.066923,0.900439,0
12800000,-2830000,485,272.9500122,-240.3651428,-273.6748657,-0.007829224,-201.4217224,141.35,116910.4005,15490.9963,14491.65767,43.727398,51.288545,47.554856,43.401715,62.055973,40.891816,64.983413,65.038268,0.697773,13.350693,1.049171,0
12800000,-2835000,485,272.9500122,-226.8793488,-266.8161316,-0.009160494,-196.4266052,141.486,113119.4536,10490.9963,10297.98523,39.422833,47.318717,43.779115,43.346059,51.673816,43.605179,68.361786,64.134877,0.618615,13.336131,1.178039,0
12800000,-2840000,485,272.9500122,-209.2181854,-245.2945251,-0.004170163,-125.5995941,141.628,109414.6928,5490.996297,5300.848775,36.064279,43.19861,41.094626,43.27014,61.747673,50.96267,72.597459,65.47787,0.6435,13.561777,0.959732,0
12800000,-2845000,485,272.9500122,-200.519104,-217.5222473,-0.019211149,-36.80934906,141.77,105805.3487,490.9962967,386.6466433,38.514653,41.796116,40.47206,43.171653,38.535534,50.933944,65.485574,66.740085,0.952609,16.210914,1.412726,0
